Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination Date
09 - WA-W,"Pechman,Marsha J.",Senior,02/06/2016,"O'Sullivan,Kathleen M.",04/14/2016
10 - CO,"Blackburn,Robert E.",Senior,04/12/2016,"Rodriguez,Regina M.",04/28/2016
10 - KS,"Vratil,Kathryn H.",Senior,04/22/2014,"Campbell,Terrence J.",01/28/2016
10 - OK-W,"Cauthron,Robin J.",Senior,07/14/2015,,
10 - OK-W,"Russell,David L.",Senior,07/07/2013,"Mitchell,Suzanne",12/16/2015
10 - OK-W,"Friot,Stephen P.",Senior,12/01/2014,"Palk,Scott L.",12/16/2015
10 - UT,"Stewart,Brian T.",Senior,09/01/2014,"Russell,Ronald G.",12/16/2015
11 - AL-M,"Thompson,Myron H.",Senior,08/22/2013,,
11 - AL-M,"Fuller,Mark E.",Resigned,08/01/2015,,
11 - AL-N,"Blackburn,Sharon Lovelace",Senior,05/08/2015,,
11 - AL-N,"Smith Jr.,C. Lynwood",Senior,08/31/2013,,
11 - AL-S,"Granade,Callie V.S.",Senior,03/07/2016,,
11 - CCA,"Dubina,Joel F.",Senior,10/26/2013,"Kallon,Abdul K.",02/11/2016
11 - FL-M,"Steele,John E.",Senior,06/03/2015,"Barksdale,Patricia D.",04/28/2016
11 - FL-M,"Conway,Anne C.",Senior,08/01/2015,"Jung,William F.",04/28/2016
11 - FL-N,"Smoak,Richard",Senior,12/31/2015,"Lammens,Philip R.",04/28/2016
11 - FL-S,"Rosenbaum,Robin S.",Elevated,05/12/2014,"Flores,Mary Barzee",02/26/2015
11 - GA-N,"Carnes,Julie E.",Elevated,07/21/2014,"Lopez,Dax Eric",07/30/2015
CL,"Block,Lawrence J.",Retired,01/08/2016,,
CL,"Damich,Edward J.",Senior,10/21/2013,"Bonilla,Armando Omar",01/07/2015
CL,"Firestone,Nancy B.",Senior,10/21/2013,"Firestone,Nancy B.",01/07/2015
CL,"Bush,Lynn J.",Senior,10/21/2013,"Halkowski,Thomas L.",01/07/2015
CL,"Hewitt,Emily C.",Retired,10/21/2013,"McCarthy,Patricia M.",01/07/2015
CL,"Miller,George W.",Retired,08/06/2013,"Somers,Jeri Kaylene",01/07/2015
DC - DC,"Collyer,Rosemary M.",Senior,05/18/2016,,
DC - DC,"Roberts,Richard W.",Senior,03/16/2016,"Edelman,Todd E.",04/28/2016
DC - DC,"Walton,Reggie B.",Senior,12/31/2015,"Pan,Florence Y.",04/28/2016
IT,"Pogue,Donald C.",Senior,07/01/2014,"Davidson,Jeanne E.",01/07/2015
IT,"Eaton,Richard K.",Senior,08/22/2014,"Drake,Elizabeth J.",07/30/2015
SC,"Scalia,Antonin",Deceased,02/13/2016,"Garland,Merrick B.",03/16/2016
