Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Polozola, Frank J.",Senior,2007-01-15,,,LA-M,Fifth Circuit,2009-06-02
"Melancon, Tucker L.",Senior,2009-02-14,,,LA-W,Fifth Circuit,2009-06-02
"Barbour, William H.",Senior,2006-02-04,,,MS-S,Fifth Circuit,2009-06-02
"Kazan, George P.",Senior,2009-05-31,,,TX-S,Fifth Circuit,2009-06-02
"Briones, David",Senior,2009-02-26,,,TX-W,Fifth Circuit,2009-06-02
"Furgeson, Jr., William R.",Senior,2008-11-30,,,TX-W,Fifth Circuit,2009-06-02
"Daughtrey, Martha Craig",Senior,2009-01-01,,,CCA,Sixth Circuit,2009-06-02
"Friedman, Bernard A.",Senior,2009-01-01,,,MI-E,Sixth Circuit,2009-06-02
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2009-06-02
"Beckwith, Sandra S.",Senior,2009-01-01,,,OH-S,Sixth Circuit,2009-06-02
"Echols, Robert L.",Senior,2007-03-01,,,TN-M,Sixth Circuit,2009-06-02
"Ripple, Kenneth F.",Senior,2008-09-01,"Hamilton, David F.",2009-03-17,CCA,Seventh Circuit,2009-06-02
"Filip, Mark R.",Resigned,2008-03-09,,,IL-N,Seventh Circuit,2009-06-02
"Gettleman, Robert W.",Senior,2009-05-05,,,IL-N,Seventh Circuit,2009-06-02
"Sharp, Allen",Senior,2007-11-01,,,IN-N,Seventh Circuit,2009-06-02
"Shabaz, John C.",Senior,2009-01-20,,,WI-W,Seventh Circuit,2009-06-02
"Moody, James M.",Senior,2008-09-30,,,AR-E,Eighth Circuit,2009-06-02
"Wilson, Jr., William R.",Senior,2008-09-30,,,AR-E,Eighth Circuit,2009-06-02
"Barnes, Harry F.",Senior,2008-10-31,,,AR-W,Eighth Circuit,2009-06-02
"Kornmann, Charles B.",Senior,2008-07-31,,,SD,Eighth Circuit,2009-06-02
PL 110-177,New Position,2009-01-21,,,CCA,Ninth Circuit,2009-06-02
"Trott, Stephen S.",Senior,2004-12-31,,,CCA,Ninth Circuit,2009-06-02
"Manella, Nora M.",Resigned,2006-05-22,,,CA-C,Ninth Circuit,2009-06-02
"Schiavelli, George P.",Resigned,2008-10-05,,,CA-C,Ninth Circuit,2009-06-02
"Stotler, Alicemarie H.",Senior,2009-01-05,,,CA-C,Ninth Circuit,2009-06-02
"Damrell, Frank C., Jr.",Senior,2009-01-01,,,CA-E,Ninth Circuit,2009-06-02
"Jenkins, Martin J.",Resigned,2008-04-03,,,CA-N,Ninth Circuit,2009-06-02
"Whyte, Ronald M.",Senior,2009-03-02,,,CA-N,Ninth Circuit,2009-06-02
"King, Garr M.",Senior,2009-01-30,,,OR,Ninth Circuit,2009-06-02
"Van Sickle, Fred",Senior,2008-05-01,,,WA-E,Ninth Circuit,2009-06-02
"Figa, Phillip S.",Deceased,2008-01-05,,,CO,Tenth Circuit,2009-06-02
"Nottingham, Edward W.",Resigned,2008-10-29,,,CO,Tenth Circuit,2009-06-02
"Brimmer, Clarence A.",Senior,2006-09-27,,,WY,Tenth Circuit,2009-06-02
"Anderson III, R. Lanier",Senior,2009-01-31,,,CCA,Eleventh Circuit,2009-06-02
"Clemon, U. W.",Resigned,2009-01-31,,,AL-N,Eleventh Circuit,2009-06-02
"Bucklew, Susan",Senior,2008-08-01,,,FL-M,Eleventh Circuit,2009-06-02
"Hurley, Daniel T. K.",Senior,2009-02-24,,,FL-S,Eleventh Circuit,2009-06-02
"Lawson, Hugh",Senior,2008-12-31,,,GA-M,Eleventh Circuit,2009-06-02
"Camp, Jack T.",Senior,2008-12-31,,,GA-N,Eleventh Circuit,2009-06-02
"Cooper, Clarence",Senior,2009-02-09,,,GA-N,Eleventh Circuit,2009-06-02
"Evans, Orinda D.",Senior,2008-12-31,,,GA-N,Eleventh Circuit,2009-06-02
"Randolph, A. Raymond",Senior,2008-11-01,,,CCA,District of Columbia Circuit,2009-06-02
"Roberts, John G.",Elevated,2005-09-29,,,CCA,District of Columbia Circuit,2009-06-02
"Hogan, Thomas F.",Senior,2008-05-01,,,DC,District of Columbia Circuit,2009-06-02
"Kessler, Gladys",Senior,2007-01-22,,,DC,District of Columbia Circuit,2009-06-02
"Robertson, James",Senior,2008-12-31,,,DC,District of Columbia Circuit,2009-06-02
